Sample,Pooled,Year,SITE,TreatmentDay,GENE,G_annotation,COVERAGE,VAF,VF,SNP,PooledSize,PooledGroup
19GNDo00xp016PfF1290,Pooled,19,Dorota,00,K13,G538V,1432,0%,0,G538,5,16
17GNHa00xp039PfF1153,Pooled,17,Hamdalaye,00,K13,M476I,1453,0%,0,M476,4,26
19GNHa00xp016PfF1290,Pooled,19,Hamdalaye,00,K13,A578S,1430,0%,0,A578,5,16
18GNMa00xp001PfF1290,Pooled,18,Maferinyah,00,K13,G449A,144,0%,0,G449,5,1
19GNDo00xp012PfF1290,Pooled,19,Dorota,00,K13,N537I,144,0%,0,N537,5,12
19GNHa00xp023PfF1290,Pooled,19,Hamdalaye,00,DHPS,A581G,144,0%,0,A581,5,23
19GNHa00xp033PfF1290,Pooled,19,Hamdalaye,00,PfCRT,C72S,144,0%,0,C72,5,33
19GNHa00xp015PfF1290,Pooled,19,Hamdalaye,00,DHFR,I164L,145,0%,0,I164,5,15
18GNMa00xp026PfF1290,Pooled,18,Maferinyah,00,DHFR,A16V,148,0%,0,A16,5,26
19GNHa00xp017PfF1290,Pooled,19,Hamdalaye,00,K13,P574L,1436,0%,0,P574,5,17
19GNDo00xp017PfF1290,Pooled,19,Dorota,00,K13,M476I,1445,0%,0,M476,5,17
19GNDo00xp016PfF1290,Pooled,19,Dorota,00,K13,R539T,1445,0%,0,R539,5,16
19GNHa00xp024PfF1290,Pooled,19,Hamdalaye,00,K13,C469F,1458,0%,0,C469,5,24
19GNHa00xp024PfF1290,Pooled,19,Hamdalaye,00,K13,C469Y,1458,0%,0,C469,5,24
19GNDo00xp037PfF1290,Pooled,19,Dorota,00,K13,A578S,1436,0%,0,A578,5,37
19GNHa00xp003PfF1290,Pooled,19,Hamdalaye,00,K13,R561H,145,0%,0,R561,5,3
19GNDo00xp028PfF1290,Pooled,19,Dorota,00,DHPS,K540E,148,0%,0,K540,5,28
19GNHa00xp032PfF1290,Pooled,19,Hamdalaye,00,DHFR,I164L,148,0%,0,I164,5,32
17GNHa00xp037PfF1153,Pooled,17,Hamdalaye,00,K13,C469F,149,0%,0,C469,4,26
17GNHa00xp037PfF1153,Pooled,17,Hamdalaye,00,K13,C469Y,149,0%,0,C469,4,26
18GNMa00xp002PfF1290,Pooled,18,Maferinyah,00,K13,N537I,150,0%,0,N537,5,2
19GNDo00xp017PfF1290,Pooled,19,Dorota,00,K13,A481V,1448,0%,0,A481,5,17
19GNHa00xp024PfF1290,Pooled,19,Hamdalaye,00,K13,D584V,1448,0%,0,D584,5,24
19GNDo00xp006PfF1290,Pooled,19,Dorota,00,mitochondrial genome - CYTB CDS,I258M,1445,0%,0,I258,5,6
19GNHa00xp024PfF1290,Pooled,19,Hamdalaye,00,K13,N537I,1457,0%,0,N537,5,24
19GNDo00xp021PfF1290,Pooled,19,Dorota,00,PfCRT,N75E,145,0%,0,N75,5,21
19GNDo00xp012PfF1290,Pooled,19,Dorota,00,K13,G538V,147,0%,0,G538,5,12
19GNDo00xp021PfF1290,Pooled,19,Dorota,00,PfCRT,K76T,147,0%,0,K76,5,21
19GNHa00xp031PfF1290,Pooled,19,Hamdalaye,00,K13,R622I,1452,0%,0,R622,5,31
19GNHa00xp024PfF1290,Pooled,19,Hamdalaye,00,K13,A578S,1454,0%,0,A578,5,24
19GNHa00xp016PfF1290,Pooled,19,Hamdalaye,00,K13,N458Y,1454,0%,0,N458,5,16
19GNHa00xp017PfF1290,Pooled,19,Hamdalaye,00,K13,R539T,1461,0%,0,R539,5,17
19GNHa00xp021PfF1290,Pooled,19,Hamdalaye,00,K13,M476I,1471,0%,0,M476,5,21
19GNDo00xp016PfF1290,Pooled,19,Dorota,00,K13,I543T,1482,0%,0,I543,5,16
19GNHa00xp031PfF1290,Pooled,19,Hamdalaye,00,K13,P441L,1457,0%,0,P441,5,31
19GNHa00xp017PfF1290,Pooled,19,Hamdalaye,00,K13,G538V,1458,0%,0,G538,5,17
18GNMa00xp038PfF1290,Pooled,18,Maferinyah,00,K13,Y493H,1457,0%,0,Y493,5,38
18GNMa00xp040PfF1290,Pooled,18,Maferinyah,00,K13,C580Y,1459,0%,0,C580,4,40
19GNHa00xp024PfF1290,Pooled,19,Hamdalaye,00,K13,R539T,1460,0%,0,R539,5,24
18GNMa00xp040PfF1290,Pooled,18,Maferinyah,00,K13,D584V,1462,0%,0,D584,4,40
19GNHa00xp024PfF1290,Pooled,19,Hamdalaye,00,K13,G538V,1463,0%,0,G538,5,24
19GNHa00xp003PfF1290,Pooled,19,Hamdalaye,00,K13,P553L,146,0%,0,P553,5,3
18GNMa00xp009PfF1290,Pooled,18,Maferinyah,00,K13,R561H,148,0%,0,R561,5,9
18GNMa00xp009PfF1290,Pooled,18,Maferinyah,00,K13,V568G,148,0%,0,V568,5,9
18GNLa00xp026PfF1290,Pooled,18,Lay-Sarè,00,K13,P574L,1468,0%,0,P574,5,26
19GNDo00xp033PfF1290,Pooled,19,Dorota,00,K13,G538V,1473,0%,0,G538,5,33
19GNDo00xp017PfF1290,Pooled,19,Dorota,00,K13,P527H,1464,0%,0,P527,5,17
18GNMa00xp038PfF1290,Pooled,18,Maferinyah,00,K13,P574L,1472,0%,0,P574,5,38
19GNDo00xp045PfF1153,Pooled,19,Dorota,00,K13,C469F,1504,0%,0,C469,6,26
19GNDo00xp045PfF1153,Pooled,19,Dorota,00,K13,C469Y,1504,0%,0,C469,6,26
19GNHa00xp017PfF1290,Pooled,19,Hamdalaye,00,K13,A578S,1470,0%,0,A578,5,17
19GNDo00xp033PfF1290,Pooled,19,Dorota,00,K13,D584V,1477,0%,0,D584,5,33
19GNHa00xp025PfF1290,Pooled,19,Hamdalaye,00,K13,F446I,1478,0%,0,F446,5,25
19GNDo00xp033PfF1290,Pooled,19,Dorota,00,K13,R539T,1475,0%,0,R539,5,33
18GNMa00xp040PfF1290,Pooled,18,Maferinyah,00,K13,A578S,1472,0%,0,A578,4,40
18GNMa00xp025PfF1290,Pooled,18,Maferinyah,00,K13,I543T,1487,0%,0,I543,5,25
19GNDo00xp046PfF1153,Pooled,19,Dorota,00,DHPS,A581G,147,0%,0,A581,2,26
19GNHa00xp010PfF1290,Pooled,19,Hamdalaye,00,K13,M476I,147,0%,0,M476,5,10
19GNHa00xp018PfF1290,Pooled,19,Hamdalaye,00,PfCRT,T93S,147,0%,0,T93,5,18
19GNDo00xp012PfF1290,Pooled,19,Dorota,00,K13,R539T,148,0%,0,R539,5,12
19GNDo00xp026PfF1290,Pooled,19,Dorota,00,PfCRT,I356T,148,0%,0,I356,5,26
19GNHa00xp034PfF1290,Pooled,19,Hamdalaye,00,PfCRT,I356T,148,0%,0,I356,5,34
19GNHa00xp021PfF1290,Pooled,19,Hamdalaye,00,K13,P574L,1472,0%,0,P574,5,21
19GNHa00xp017PfF1290,Pooled,19,Hamdalaye,00,K13,R561H,1479,0%,0,R561,5,17
18GNMa00xp038PfF1290,Pooled,18,Maferinyah,00,K13,D584V,1483,0%,0,D584,5,38
19GNHa00xp017PfF1290,Pooled,19,Hamdalaye,00,K13,V568G,1486,0%,0,V568,5,17
19GNDo00xp034PfF1290,Pooled,19,Dorota,00,K13,R622I,1480,0%,0,R622,5,34
19GNHa00xp026PfF1290,Pooled,19,Hamdalaye,00,K13,F446I,1481,0%,0,F446,5,26
19GNDo00xp026PfF1290,Pooled,19,Dorota,00,PfCRT,I218F,148,0%,0,I218,5,26
18GNMa00xp024PfF1290,Pooled,18,Maferinyah,00,DHFR,I164L,149,0%,0,I164,5,24
19GNHa00xp018PfF1290,Pooled,19,Hamdalaye,00,PfCRT,H97Y,149,0%,0,H97,5,18
19GNDo00xp012PfF1290,Pooled,19,Dorota,00,K13,I543T,150,0%,0,I543,5,12
19GNHa00xp033PfF1290,Pooled,19,Hamdalaye,00,K13,P553L,1501,0%,0,P553,5,33
19GNHa00xp021PfF1290,Pooled,19,Hamdalaye,00,K13,V568G,1490,0%,0,V568,5,21
19GNDo00xp027PfF1290,Pooled,19,Dorota,00,mitochondrial genome - CYTB CDS,Y268N,1486,0%,0,Y268,5,27
19GNDo00xp017PfF1290,Pooled,19,Dorota,00,K13,Y493H,1484,0%,0,Y493,5,17
18GNMa00xp038PfF1290,Pooled,18,Maferinyah,00,K13,C580Y,1485,0%,0,C580,5,38
19GNHa00xp017PfF1290,Pooled,19,Hamdalaye,00,K13,I543T,1506,0%,0,I543,5,17
19GNHa00xp024PfF1290,Pooled,19,Hamdalaye,00,K13,M476I,1504,0%,0,M476,5,24
19GNHa00xp024PfF1290,Pooled,19,Hamdalaye,00,K13,P527H,1489,0%,0,P527,5,24
19GNHa00xp048PfF1153,Pooled,19,Hamdalaye,00,DHFR,A16V,1510,0%,0,A16,3,26
19GNDo00xp034PfF1290,Pooled,19,Dorota,00,K13,N458Y,1493,0%,0,N458,5,34
19GNHa00xp021PfF1290,Pooled,19,Hamdalaye,00,K13,I543T,1517,0%,0,I543,5,21
18GNLa00xp015PfF1290,Pooled,18,Lay-Sarè,00,DHPS,A581G,149,0%,0,A581,5,15
18GNMa00xp004PfF1290,Pooled,18,Maferinyah,00,K13,A675V,149,0%,0,A675,5,4
18GNMa00xp007PfF1290,Pooled,18,Maferinyah,00,K13,N458Y,149,0%,0,N458,5,7
19GNHa00xp010PfF1290,Pooled,19,Hamdalaye,00,K13,A481V,149,0%,0,A481,5,10
18GNLa00xp008PfF1290,Pooled,18,Lay-Sarè,00,K13,G449A,150,0%,0,G449,5,8
18GNLa00xp015PfF1290,Pooled,18,Lay-Sarè,00,DHPS,A613S,150,0%,0,A613,5,15
19GNHa00xp035PfF1290,Pooled,19,Hamdalaye,00,K13,P441L,1492,0%,0,P441,5,35
18GNLa00xp016PfF1290,Pooled,18,Lay-Sarè,00,mitochondrial genome - CYTB CDS,Y268N,1494,0%,0,Y268,5,16
19GNHa00xp024PfF1290,Pooled,19,Hamdalaye,00,K13,A481V,1497,0%,0,A481,5,24
19GNHa00xp021PfF1290,Pooled,19,Hamdalaye,00,K13,A481V,1503,0%,0,A481,5,21
19GNHa00xp033PfF1290,Pooled,19,Hamdalaye,00,K13,P574L,1504,0%,0,P574,5,33
19GNHa00xp017PfF1290,Pooled,19,Hamdalaye,00,K13,P553L,1513,0%,0,P553,5,17
18GNLa00xp015PfF1290,Pooled,18,Lay-Sarè,00,K13,P441L,1498,0%,0,P441,5,15
17GNHa00xp039PfF1153,Pooled,17,Hamdalaye,00,K13,C580Y,1507,0%,0,C580,4,26
19GNDo00xp045PfF1153,Pooled,19,Dorota,00,K13,N458Y,1504,0%,0,N458,6,26
17GNDo00xp044PfF1153,Pooled,17,Dorota,00,DHFR,I164L,15,0%,0,I164,1,26
17GNHa00xp040PfF1153,Pooled,17,Hamdalaye,00,K13,A481V,15,0%,0,A481,1,26
17GNMa00xp048PfF1153,Pooled,17,Maferinyah,00,K13,C580Y,15,0%,0,C580,1,26
18GNLa00xp006PfF1290,Pooled,18,Lay-Sarè,00,PfCRT,F145I,15,0%,0,F145,5,6
18GNLa00xp007PfF1290,Pooled,18,Lay-Sarè,00,PfCRT,N75E,15,0%,0,N75,5,7
18GNLa00xp007PfF1290,Pooled,18,Lay-Sarè,00,PfCRT,K76T,15,0%,0,K76,5,7
18GNLa00xp009PfF1290,Pooled,18,Lay-Sarè,00,DHPS,K540E,15,0%,0,K540,5,9
18GNLa00xp010PfF1290,Pooled,18,Lay-Sarè,00,DHFR,A16V,15,0%,0,A16,5,10
18GNLa00xp016PfF1290,Pooled,18,Lay-Sarè,00,DHPS,A581G,15,0%,0,A581,5,16
18GNLa00xp026PfF1290,Pooled,18,Lay-Sarè,00,PfCRT,T93S,15,0%,0,T93,5,26
18GNLa00xp026PfF1290,Pooled,18,Lay-Sarè,00,PfCRT,F145I,15,0%,0,F145,5,26
18GNLa00xp030PfF1153,Pooled,18,Lay-Sarè,00,K13,F446I,15,0%,0,F446,5,26
18GNMa00xp008PfF1290,Pooled,18,Maferinyah,00,K13,I543T,15,0%,0,I543,5,8
18GNMa00xp009PfF1290,Pooled,18,Maferinyah,00,PfCRT,C72S,15,0%,0,C72,5,9
18GNMa00xp010PfF1290,Pooled,18,Maferinyah,00,DHFR,A16V,15,0%,0,A16,5,10
18GNMa00xp010PfF1290,Pooled,18,Maferinyah,00,DHPS,A613S,15,0%,0,A613,5,10
18GNMa00xp014PfF1290,Pooled,18,Maferinyah,00,PfMDR1 ,S1034C,15,0%,0,S1034,5,14
18GNMa00xp028PfF1290,Pooled,18,Maferinyah,00,PfMDR1 ,S1034C,15,0%,0,S1034,5,28
18GNMa00xp033PfF1290,Pooled,18,Maferinyah,00,PfMDR1 ,S1034C,15,0%,0,S1034,5,33
18GNMa00xp034PfF1290,Pooled,18,Maferinyah,00,PfMDR1 ,D1246Y,15,0%,0,D1246,5,34
18GNMa00xp046PfF1153,Pooled,18,Maferinyah,00,K13,N537I,15,0%,0,N537,1,26
18GNMa00xp046PfF1153,Pooled,18,Maferinyah,00,K13,G538V,15,0%,0,G538,1,26
19GNDo00xp021PfF1290,Pooled,19,Dorota,00,PfMDR1 ,N86Y,15,0%,0,N86,5,21
19GNDo00xp028PfF1290,Pooled,19,Dorota,00,PfCRT,T93S,15,0%,0,T93,5,28
19GNDo00xp028PfF1290,Pooled,19,Dorota,00,PfCRT,H97Y,15,0%,0,H97,5,28
19GNDo00xp030PfF1290,Pooled,19,Dorota,00,PfCRT,M343L,15,0%,0,M343,5,30
19GNDo00xp030PfF1290,Pooled,19,Dorota,00,PfCRT,C350R,15,0%,0,C350,5,30
19GNDo00xp030PfF1290,Pooled,19,Dorota,00,PfCRT,G353V,15,0%,0,G353,5,30
19GNDo00xp030PfF1290,Pooled,19,Dorota,00,PfCRT,I356T,15,0%,0,I356,5,30
19GNDo00xp050PfF1153,Pooled,19,Dorota,00,DHFR,I164L,15,0%,0,I164,1,26
19GNDo00xp050PfF1153,Pooled,19,Dorota,00,K13,P527H,15,0%,0,P527,1,26
19GNDo00xp050PfF1153,Pooled,19,Dorota,00,K13,N537I,15,0%,0,N537,1,26
17GNMa00xp048PfF1153,Pooled,17,Maferinyah,00,K13,A578S,16,0%,0,A578,1,26
18GNLa00xp010PfF1290,Pooled,18,Lay-Sarè,00,DHPS,K540E,16,0%,0,K540,5,10
19GNDo00xp050PfF1153,Pooled,19,Dorota,00,K13,G538V,16,0%,0,G538,1,26
18GNMa00xp008PfF1290,Pooled,18,Maferinyah,00,K13,R515K,17,0%,0,R515,5,8
18GNMa00xp004PfF1290,Pooled,18,Maferinyah,00,K13,P527H,150,0%,0,P527,5,4
18GNMa00xp014PfF1290,Pooled,18,Maferinyah,00,PfCRT,F145I,150,0%,0,F145,5,14
19GNHa00xp046PfF1153,Pooled,19,Hamdalaye,00,K13,A481V,150,0%,0,A481,3,26
18GNMa00xp041PfF1153,Pooled,18,Maferinyah,00,K13,R515K,151,0%,0,R515,2,26
19GNHa00xp034PfF1290,Pooled,19,Hamdalaye,00,PfCRT,G353V,151,0%,0,G353,5,34
19GNDo00xp012PfF1290,Pooled,19,Dorota,00,K13,C469F,152,0%,0,C469,5,12
19GNDo00xp012PfF1290,Pooled,19,Dorota,00,K13,C469Y,152,0%,0,C469,5,12
19GNHa00xp047PfF1153,Pooled,19,Hamdalaye,00,DHFR,I164L,158,0%,0,I164,6,26
19GNHa00xp032PfF1290,Pooled,19,Hamdalaye,00,mitochondrial genome - CYTB CDS,I258M,1507,0%,0,I258,5,32
19GNHa00xp033PfF1290,Pooled,19,Hamdalaye,00,K13,R515K,1523,0%,0,R515,5,33
19GNDo00xp026PfF1290,Pooled,19,Dorota,00,PfCRT,G353V,151,0%,0,G353,5,26
19GNHa00xp022PfF1290,Pooled,19,Hamdalaye,00,PfCRT,F145I,151,0%,0,F145,4,22
18GNMa00xp007PfF1290,Pooled,18,Maferinyah,00,K13,F446I,152,0%,0,F446,5,7
19GNDo00xp006PfF1290,Pooled,19,Dorota,00,K13,A675V,152,0%,0,A675,5,6
19GNDo00xp038PfF1290,Pooled,19,Dorota,00,K13,A675V,152,0%,0,A675,2,38
19GNHa00xp003PfF1290,Pooled,19,Hamdalaye,00,K13,V568G,152,0%,0,V568,5,3
18GNMa00xp002PfF1290,Pooled,18,Maferinyah,00,K13,G538V,155,0%,0,G538,5,2
19GNHa00xp048PfF1153,Pooled,19,Hamdalaye,00,K13,A578S,1512,0%,0,A578,3,26
18GNLa00xp015PfF1290,Pooled,18,Lay-Sarè,00,mitochondrial genome - CYTB CDS,I258M,1512,0%,0,I258,5,15
18GNMa00xp038PfF1290,Pooled,18,Maferinyah,00,K13,P553L,1531,0%,0,P553,5,38
19GNDo00xp016PfF1290,Pooled,19,Dorota,00,K13,P553L,1537,0%,0,P553,5,16
19GNDo00xp017PfF1290,Pooled,19,Dorota,00,K13,N537I,1531,0%,0,N537,5,17
19GNHa00xp028PfF1290,Pooled,19,Hamdalaye,00,K13,A675V,1516,0%,0,A675,5,28
19GNDo00xp033PfF1290,Pooled,19,Dorota,00,K13,C580Y,1519,0%,0,C580,5,33
18GNMa00xp002PfF1290,Pooled,18,Maferinyah,00,K13,R539T,152,0%,0,R539,5,2
19GNDo00xp026PfF1290,Pooled,19,Dorota,00,PfCRT,C350R,152,0%,0,C350,5,26
19GNHa00xp003PfF1290,Pooled,19,Hamdalaye,00,K13,P574L,152,0%,0,P574,5,3
19GNDo00xp022PfF1290,Pooled,19,Dorota,00,DHFR,I164L,153,0%,0,I164,5,22
18GNMa00xp033PfF1290,Pooled,18,Maferinyah,00,DHFR,I164L,154,0%,0,I164,5,33
19GNHa00xp033PfF1290,Pooled,19,Hamdalaye,00,PfCRT,V73V,154,0%,0,V73,5,33
19GNDo00xp024PfF1290,Pooled,19,Dorota,00,DHPS,K540E,155,0%,0,K540,5,24
18GNLa00xp026PfF1290,Pooled,18,Lay-Sarè,00,K13,C580Y,1528,0%,0,C580,5,26
19GNDo00xp017PfF1290,Pooled,19,Dorota,00,K13,G538V,1527,0%,0,G538,5,17
17GNHa00xp037PfF1153,Pooled,17,Hamdalaye,00,DHFR,A16V,1556,0%,0,A16,4,26
18GNMa00xp038PfF1290,Pooled,18,Maferinyah,00,K13,V568G,1538,0%,0,V568,5,38
19GNDo00xp017PfF1290,Pooled,19,Dorota,00,K13,R539T,1530,0%,0,R539,5,17
18GNMa00xp038PfF1290,Pooled,18,Maferinyah,00,K13,R561H,1532,0%,0,R561,5,38
19GNHa00xp033PfF1290,Pooled,19,Hamdalaye,00,K13,C469F,1540,0%,0,C469,5,33
19GNHa00xp033PfF1290,Pooled,19,Hamdalaye,00,K13,C469Y,1540,0%,0,C469,5,33
18GNLa00xp022PfF1290,Pooled,18,Lay-Sarè,00,K13,N537I,1548,0%,0,N537,5,22
18GNMa00xp038PfF1290,Pooled,18,Maferinyah,00,K13,A578S,1529,0%,0,A578,5,38
19GNHa00xp033PfF1290,Pooled,19,Hamdalaye,00,K13,R561H,1544,0%,0,R561,5,33
19GNHa00xp033PfF1290,Pooled,19,Hamdalaye,00,K13,V568G,1540,0%,0,V568,5,33
19GNDo00xp017PfF1290,Pooled,19,Dorota,00,K13,R515K,1544,0%,0,R515,5,17
17GNHa00xp039PfF1153,Pooled,17,Hamdalaye,00,K13,D584V,1538,0%,0,D584,4,26
18GNLa00xp006PfF1290,Pooled,18,Lay-Sarè,00,DHPS,S436A,153,0%,0,S436,5,6
19GNDo00xp012PfF1290,Pooled,19,Dorota,00,K13,N458Y,153,0%,0,N458,5,12
19GNDo00xp012PfF1290,Pooled,19,Dorota,00,K13,Y493H,153,0%,0,Y493,5,12
19GNDo00xp023PfF1290,Pooled,19,Dorota,00,DHPS,A581G,153,0%,0,A581,5,23
19GNDo00xp031PfF1290,Pooled,19,Dorota,00,DHPS,A613S,153,0%,0,A613,5,31
19GNDo00xp048PfF1153,Pooled,19,Dorota,00,PfMDR1 ,D1246Y,153,0%,0,D1246,5,26
19GNHa00xp034PfF1290,Pooled,19,Hamdalaye,00,PfCRT,C350R,153,0%,0,C350,5,34
18GNMa00xp001PfF1290,Pooled,18,Maferinyah,00,K13,N458Y,154,0%,0,N458,5,1
18GNMa00xp006PfF1290,Pooled,18,Maferinyah,00,K13,F446I,154,0%,0,F446,5,6
19GNHa00xp010PfF1290,Pooled,19,Hamdalaye,00,K13,R515K,155,0%,0,R515,5,10
19GNDo00xp024PfF1290,Pooled,19,Dorota,00,PfCRT,T93S,157,0%,0,T93,5,24
19GNDo00xp046PfF1153,Pooled,19,Dorota,00,DHFR,I164L,157,0%,0,I164,2,26
19GNHa00xp021PfF1290,Pooled,19,Hamdalaye,00,K13,R539T,1531,0%,0,R539,5,21
19GNHa00xp033PfF1290,Pooled,19,Hamdalaye,00,K13,M476I,1544,0%,0,M476,5,33
19GNHa00xp033PfF1290,Pooled,19,Hamdalaye,00,K13,A481V,1535,0%,0,A481,5,33
19GNDo00xp011PfF1290,Pooled,19,Dorota,00,mitochondrial genome - CYTB CDS,I258M,1534,0%,0,I258,5,11
18GNLa00xp026PfF1290,Pooled,18,Lay-Sarè,00,K13,D584V,1538,0%,0,D584,5,26
19GNHa00xp021PfF1290,Pooled,19,Hamdalaye,00,K13,N537I,1545,0%,0,N537,5,21
19GNHa00xp027PfF1290,Pooled,19,Hamdalaye,00,K13,A675V,1536,0%,0,A675,5,27
19GNHa00xp033PfF1290,Pooled,19,Hamdalaye,00,K13,D584V,1542,0%,0,D584,5,33
18GNLa00xp003PfF1290,Pooled,18,Lay-Sarè,00,K13,P441L,1539,0%,0,P441,5,3
19GNHa00xp021PfF1290,Pooled,19,Hamdalaye,00,K13,G538V,1540,0%,0,G538,5,21
19GNHa00xp020PfF1290,Pooled,19,Hamdalaye,00,K13,P553L,1558,0%,0,P553,5,20
18GNLa00xp006PfF1290,Pooled,18,Lay-Sarè,00,DHPS,A613S,154,0%,0,A613,5,6
18GNMa00xp009PfF1290,Pooled,18,Maferinyah,00,K13,P574L,154,0%,0,P574,5,9
19GNHa00xp003PfF1290,Pooled,19,Hamdalaye,00,K13,A578S,154,0%,0,A578,5,3
19GNHa00xp003PfF1290,Pooled,19,Hamdalaye,00,K13,C580Y,155,0%,0,C580,5,3
19GNHa00xp009PfF1290,Pooled,19,Hamdalaye,00,K13,F446I,156,0%,0,F446,5,9
19GNDo00xp012PfF1290,Pooled,19,Dorota,00,K13,P553L,158,0%,0,P553,5,12
19GNHa00xp026PfF1290,Pooled,19,Hamdalaye,00,K13,G449A,1542,0%,0,G449,5,26
19GNHa00xp021PfF1290,Pooled,19,Hamdalaye,00,K13,A578S,1551,0%,0,A578,5,21
19GNDo00xp017PfF1290,Pooled,19,Dorota,00,K13,I543T,1558,0%,0,I543,5,17
19GNHa00xp033PfF1290,Pooled,19,Hamdalaye,00,K13,C580Y,1549,0%,0,C580,5,33
19GNDo00xp033PfF1290,Pooled,19,Dorota,00,K13,I543T,1567,0%,0,I543,5,33
19GNHa00xp021PfF1290,Pooled,19,Hamdalaye,00,K13,Y493H,1550,0%,0,Y493,5,21
18GNLa00xp022PfF1290,Pooled,18,Lay-Sarè,00,K13,R539T,1557,0%,0,R539,5,22
19GNHa00xp024PfF1290,Pooled,19,Hamdalaye,00,K13,Y493H,1549,0%,0,Y493,5,24
19GNDo00xp047PfF1153,Pooled,19,Dorota,00,PfCRT,F145I,155,0%,0,F145,3,26
19GNHa00xp014PfF1290,Pooled,19,Hamdalaye,00,DHPS,A581G,155,0%,0,A581,5,14
18GNLa00xp010PfF1290,Pooled,18,Lay-Sarè,00,K13,A675V,156,0%,0,A675,5,10
19GNDo00xp012PfF1290,Pooled,19,Dorota,00,DHFR,A16V,156,0%,0,A16,5,12
18GNMa00xp043PfF1153,Pooled,18,Maferinyah,00,DHFR,I164L,158,0%,0,I164,6,26
18GNMa00xp040PfF1290,Pooled,18,Maferinyah,00,mitochondrial genome - CYTB CDS,I258M,1552,0%,0,I258,4,40
18GNLa00xp022PfF1290,Pooled,18,Lay-Sarè,00,K13,G538V,1556,0%,0,G538,5,22
19GNHa00xp021PfF1290,Pooled,19,Hamdalaye,00,K13,C580Y,1559,0%,0,C580,5,21
19GNDo00xp033PfF1290,Pooled,19,Dorota,00,K13,P574L,1555,0%,0,P574,5,33
18GNLa00xp026PfF1290,Pooled,18,Lay-Sarè,00,K13,A578S,1556,0%,0,A578,5,26
19GNHa00xp035PfF1290,Pooled,19,Hamdalaye,00,K13,P527H,1557,0%,0,P527,5,35
19GNDo00xp016PfF1290,Pooled,19,Dorota,00,K13,R561H,1581,0%,0,R561,5,16
18GNLa00xp020PfF1290,Pooled,18,Lay-Sarè,00,K13,R622I,1560,0%,0,R622,5,20
18GNLa00xp002PfF1290,Pooled,18,Lay-Sarè,00,DHPS,A613S,156,0%,0,A613,5,2
18GNLa00xp008PfF1290,Pooled,18,Lay-Sarè,00,K13,P441L,156,0%,0,P441,5,8
18GNLa00xp011PfF1290,Pooled,18,Lay-Sarè,00,K13,A675V,156,0%,0,A675,5,11
18GNLa00xp015PfF1290,Pooled,18,Lay-Sarè,00,DHPS,S436A,156,0%,0,S436,5,15
18GNMa00xp041PfF1153,Pooled,18,Maferinyah,00,K13,P441L,156,0%,0,P441,2,26
19GNDo00xp012PfF1290,Pooled,19,Dorota,00,K13,R515K,156,0%,0,R515,5,12
19GNDo00xp026PfF1290,Pooled,19,Dorota,00,PfCRT,M343L,156,0%,0,M343,5,26
19GNHa00xp046PfF1153,Pooled,19,Hamdalaye,00,K13,M476I,156,0%,0,M476,3,26
18GNMa00xp007PfF1290,Pooled,18,Maferinyah,00,K13,C469F,159,0%,0,C469,5,7
18GNMa00xp007PfF1290,Pooled,18,Maferinyah,00,K13,C469Y,159,0%,0,C469,5,7
19GNHa00xp025PfF1290,Pooled,19,Hamdalaye,00,K13,R622I,1565,0%,0,R622,5,25
18GNLa00xp015PfF1290,Pooled,18,Lay-Sarè,00,K13,F446I,1569,0%,0,F446,5,15
19GNHa00xp033PfF1290,Pooled,19,Hamdalaye,00,K13,Y493H,1564,0%,0,Y493,5,33
17GNHa00xp039PfF1153,Pooled,17,Hamdalaye,00,K13,A578S,1567,0%,0,A578,4,26
18GNLa00xp020PfF1290,Pooled,18,Lay-Sarè,00,K13,P441L,1566,0%,0,P441,5,20
19GNHa00xp033PfF1290,Pooled,19,Hamdalaye,00,K13,A578S,1569,0%,0,A578,5,33
19GNHa00xp035PfF1290,Pooled,19,Hamdalaye,00,K13,N537I,1584,0%,0,N537,5,35
19GNDo00xp034PfF1290,Pooled,19,Dorota,00,K13,C469F,1601,0%,0,C469,5,34
19GNDo00xp034PfF1290,Pooled,19,Dorota,00,K13,C469Y,1601,0%,0,C469,5,34
19GNHa00xp016PfF1290,Pooled,19,Hamdalaye,00,K13,R515K,1588,0%,0,R515,5,16
18GNLa00xp009PfF1290,Pooled,18,Lay-Sarè,00,K13,A675V,157,0%,0,A675,5,9
19GNDo00xp024PfF1290,Pooled,19,Dorota,00,PfCRT,H97Y,157,0%,0,H97,5,24
18GNMa00xp006PfF1290,Pooled,18,Maferinyah,00,K13,G449A,158,0%,0,G449,5,6
19GNHa00xp016PfF1290,Pooled,19,Hamdalaye,00,DHPS,A613S,158,0%,0,A613,5,16
19GNHa00xp033PfF1290,Pooled,19,Hamdalaye,00,PfCRT,M74I,158,0%,0,M74,5,33
19GNHa00xp028PfF1290,Pooled,19,Hamdalaye,00,PfCRT,C72S,163,0%,0,C72,5,28
18GNMa00xp044PfF1153,Pooled,18,Maferinyah,00,K13,I543T,164,0%,0,I543,3,26
19GNHa00xp048PfF1153,Pooled,19,Hamdalaye,00,K13,A675V,1571,0%,0,A675,3,26
19GNHa00xp020PfF1290,Pooled,19,Hamdalaye,00,K13,R561H,1589,0%,0,R561,5,20
