Sample,Pooled,Year,SITE,TreatmentDay,GENE,G_annotation,COVERAGE,VAF,VF,SNP,PooledSize
18GNMa21F0182PfF1290,Individual,18,Maferinyah,21,K13,Y493H,13,0%,0,Y493,1
18GNMa21F0182PfF1290,Individual,18,Maferinyah,21,K13,A675V,13,0%,0,A675,1
19GNDo00A0127PfF1290,Individual,19,Dorota,00,K13,N458Y,13,0%,0,N458,1
19GNDo00A0127PfF1290,Individual,19,Dorota,00,K13,A481V,13,0%,0,A481,1
19GNDo27A0134PfF1290,Individual,19,Dorota,27,DHPS,A581G,13,0%,0,A581,1
19GNHa00F0172PfF1290,Individual,19,Hamdalaye,00,DHPS,A581G,13,0%,0,A581,1
19GNHa00F0172PfF1290,Individual,19,Hamdalaye,00,PfMDR1 ,S1034C,13,0%,0,S1034,1
17GNHa00A0142PfF1290,Individual,17,Hamdalaye,00,DHFR,A16V,14,0%,0,A16,1
18GNLS21A0012PfF1290,Individual,18,Lay-Sarè,21,K13,P553L,14,0%,0,P553,1
19GNHa28A0163PfF1290,Individual,19,Hamdalaye,28,mitochondrial genome - CYTB CDS,Y268N,130,0%,0,Y268,1
18GNMa00A0129PfF1290,Individual,18,Maferinyah,00,K13,G538V,131,0%,0,G538,1
18GNMa21A0106PfF1290,Individual,18,Maferinyah,21,K13,C580Y,131,0%,0,C580,1
18GNLS21A0129PfF1290,Individual,18,Lay-Sarè,21,K13,R515K,132,0%,0,R515,1
18GNMa21A0001PfF1290,Individual,18,Maferinyah,21,K13,I543T,137,0%,0,I543,1
18GNMa21A0001PfF1290,Individual,18,Maferinyah,21,K13,P574L,131,0%,0,P574,1
18GNMa21A0001PfF1290,Individual,18,Maferinyah,21,K13,A578S,131,0%,0,A578,1
18GNMa21A0106PfF1290,Individual,18,Maferinyah,21,K13,R561H,131,0%,0,R561,1
18GNMa00A0097PfF1290,Individual,18,Maferinyah,00,K13,R561H,132,0%,0,R561,1
18GNMa00A0129PfF1290,Individual,18,Maferinyah,00,K13,R539T,132,0%,0,R539,1
18GNMa00F0182PfF1290,Individual,18,Maferinyah,00,K13,P527H,132,0%,0,P527,1
18GNMa21A0106PfF1290,Individual,18,Maferinyah,21,K13,D584V,132,0%,0,D584,1
18GNMa00A0097PfF1290,Individual,18,Maferinyah,00,K13,P553L,133,0%,0,P553,1
18GNMa00A0177PfF1290,Individual,18,Maferinyah,00,K13,C469F,134,0%,0,C469,1
18GNMa00A0177PfF1290,Individual,18,Maferinyah,00,K13,C469Y,134,0%,0,C469,1
18GNLS21A0129PfF1290,Individual,18,Lay-Sarè,21,K13,C469F,133,0%,0,C469,1
18GNLS21A0129PfF1290,Individual,18,Lay-Sarè,21,K13,C469Y,133,0%,0,C469,1
18GNMa00A0097PfF1290,Individual,18,Maferinyah,00,K13,V568G,133,0%,0,V568,1
18GNLS21A0129PfF1290,Individual,18,Lay-Sarè,21,K13,N537I,135,0%,0,N537,1
17GNHa00F0011PfF1290,Individual,17,Hamdalaye,00,K13,V568G,134,0%,0,V568,1
17GNHa00F0011PfF1290,Individual,17,Hamdalaye,00,K13,P574L,134,0%,0,P574,1
18GNLS21A0129PfF1290,Individual,18,Lay-Sarè,21,K13,R539T,134,0%,0,R539,1
17GNHa00F0011PfF1290,Individual,17,Hamdalaye,00,K13,P553L,135,0%,0,P553,1
17GNHa00F0011PfF1290,Individual,17,Hamdalaye,00,mitochondrial genome - CYTB CDS,I258M,136,0%,0,I258,1
18GNLS21A0129PfF1290,Individual,18,Lay-Sarè,21,K13,G538V,136,0%,0,G538,1
18GNLS21A0129PfF1290,Individual,18,Lay-Sarè,21,K13,A675V,136,0%,0,A675,1
18GNMa00A0097PfF1290,Individual,18,Maferinyah,00,K13,P574L,137,0%,0,P574,1
18GNMa00A0129PfF1290,Individual,18,Maferinyah,00,K13,I543T,138,0%,0,I543,1
18GNLS00A0127PfF1290,Individual,18,Lay-Sarè,00,mitochondrial genome - CYTB CDS,I258M,137,0%,0,I258,1
18GNMa28F0187PfF1121,Individual,18,Maferinyah,28,K13,M476I,137,0%,0,M476,1
18GNMa28F0187PfF1121,Individual,18,Maferinyah,28,K13,A481V,137,0%,0,A481,1
18GNLS21A0129PfF1290,Individual,18,Lay-Sarè,21,K13,I543T,139,0%,0,I543,1
18GNMa21A0001PfF1290,Individual,18,Maferinyah,21,K13,V568G,138,0%,0,V568,1
17GNHa00F0011PfF1290,Individual,17,Hamdalaye,00,K13,F446I,140,0%,0,F446,1
18GNLS21A0129PfF1290,Individual,18,Lay-Sarè,21,K13,Y493H,140,0%,0,Y493,1
17GNDo00F0067PfF1153,Individual,17,Dorota,00,K13,R515K,14,0%,0,R515,1
17GNDo00F0067PfF1153,Individual,17,Dorota,00,K13,P527H,14,0%,0,P527,1
17GNHa21F0137PfF1290,Individual,17,Hamdalaye,21,K13,P441L,14,0%,0,P441,1
18GNLS00A0012PfF1290,Individual,18,Lay-Sarè,00,DHPS,A613S,14,0%,0,A613,1
18GNLS00A0136PfF1290,Individual,18,Lay-Sarè,00,DHPS,A581G,14,0%,0,A581,1
18GNLS21A0012PfF1290,Individual,18,Lay-Sarè,21,K13,N458Y,14,0%,0,N458,1
18GNLS21A0012PfF1290,Individual,18,Lay-Sarè,21,K13,Y493H,14,0%,0,Y493,1
18GNLS21A0012PfF1290,Individual,18,Lay-Sarè,21,K13,R515K,14,0%,0,R515,1
18GNLS21A0012PfF1290,Individual,18,Lay-Sarè,21,K13,C580Y,14,0%,0,C580,1
18GNLS21A0136PfF1290,Individual,18,Lay-Sarè,21,K13,P527H,14,0%,0,P527,1
18GNMa00A0097PfF1290,Individual,18,Maferinyah,00,DHPS,A581G,14,0%,0,A581,1
18GNMa00A0106PfF1290,Individual,18,Maferinyah,00,K13,P527H,14,0%,0,P527,1
18GNMa00F0182PfF1290,Individual,18,Maferinyah,00,DHPS,S436A,14,0%,0,S436,1
18GNMa21F0182PfF1290,Individual,18,Maferinyah,21,K13,G449A,14,0%,0,G449,1
18GNMa21F0182PfF1290,Individual,18,Maferinyah,21,K13,N458Y,14,0%,0,N458,1
19GNHa14A0077PfF1290,Individual,19,Hamdalaye,14,DHFR,I164L,14,0%,0,I164,1
19GNHa14A0077PfF1290,Individual,19,Hamdalaye,14,DHPS,A581G,14,0%,0,A581,1
17GNHa16F0011PfF1290,Individual,17,Hamdalaye,16,DHFR,A16V,15,0%,0,A16,1
17GNHa00F0011PfF1290,Individual,17,Hamdalaye,00,K13,P441L,140,0%,0,P441,1
17GNHa00F0011PfF1290,Individual,17,Hamdalaye,00,K13,A578S,140,0%,0,A578,1
18GNMa00A0177PfF1290,Individual,18,Maferinyah,00,K13,M476I,141,0%,0,M476,1
18GNMa21A0001PfF1290,Individual,18,Maferinyah,21,K13,R561H,141,0%,0,R561,1
17GNHa00F0011PfF1290,Individual,17,Hamdalaye,00,K13,I543T,142,0%,0,I543,1
17GNHa00F0011PfF1290,Individual,17,Hamdalaye,00,K13,P527H,141,0%,0,P527,1
18GNMa00A0014PfF1290,Individual,18,Maferinyah,00,K13,G449A,141,0%,0,G449,1
17GNHa00F0011PfF1290,Individual,17,Hamdalaye,00,K13,C580Y,142,0%,0,C580,1
18GNLS14F0141PfF1290,Individual,18,Lay-Sarè,14,mitochondrial genome - CYTB CDS,I258M,142,0%,0,I258,1
17GNHa00F0011PfF1290,Individual,17,Hamdalaye,00,K13,N537I,143,0%,0,N537,1
18GNMa00A0129PfF1290,Individual,18,Maferinyah,00,K13,C580Y,143,0%,0,C580,1
17GNHa00F0011PfF1290,Individual,17,Hamdalaye,00,K13,G538V,144,0%,0,G538,1
17GNHa00F0011PfF1290,Individual,17,Hamdalaye,00,K13,R539T,144,0%,0,R539,1
18GNMa00A0129PfF1290,Individual,18,Maferinyah,00,K13,A578S,145,0%,0,A578,1
17GNHa00F0011PfF1290,Individual,17,Hamdalaye,00,K13,C469F,150,0%,0,C469,1
17GNHa00F0011PfF1290,Individual,17,Hamdalaye,00,K13,C469Y,150,0%,0,C469,1
18GNLS21A0129PfF1290,Individual,18,Lay-Sarè,21,K13,P574L,144,0%,0,P574,1
18GNLS21A0129PfF1290,Individual,18,Lay-Sarè,21,K13,C580Y,144,0%,0,C580,1
18GNMa00A0129PfF1290,Individual,18,Maferinyah,00,K13,P574L,144,0%,0,P574,1
18GNMa00A0097PfF1290,Individual,18,Maferinyah,00,K13,A578S,145,0%,0,A578,1
18GNMa21A0014PfF1290,Individual,18,Maferinyah,21,K13,R515K,145,0%,0,R515,1
18GNMa21A0014PfF1290,Individual,18,Maferinyah,21,K13,P527H,146,0%,0,P527,1
18GNMa00A0177PfF1290,Individual,18,Maferinyah,00,K13,A481V,145,0%,0,A481,1
18GNMa21A0001PfF1290,Individual,18,Maferinyah,21,K13,P553L,145,0%,0,P553,1
18GNMa00A0097PfF1290,Individual,18,Maferinyah,00,K13,C580Y,146,0%,0,C580,1
18GNMa21A0014PfF1290,Individual,18,Maferinyah,21,K13,Y493H,146,0%,0,Y493,1
19GNDo27A0134PfF1290,Individual,19,Dorota,27,mitochondrial genome - CYTB CDS,Y268N,146,0%,0,Y268,1
18GNLS21A0129PfF1290,Individual,18,Lay-Sarè,21,K13,V568G,147,0%,0,V568,1
18GNLS00A0129PfF1290,Individual,18,Lay-Sarè,00,DHFR,C59R,146,0%,0,C59,1
18GNMa00A0129PfF1290,Individual,18,Maferinyah,00,K13,D584V,146,0%,0,D584,1
17GNHa00F0011PfF1290,Individual,17,Hamdalaye,00,K13,M476I,147,0%,0,M476,1
17GNHa00F0011PfF1290,Individual,17,Hamdalaye,00,K13,R515K,147,0%,0,R515,1
17GNHa00F0011PfF1290,Individual,17,Hamdalaye,00,K13,D584V,147,0%,0,D584,1
17GNHa00F0011PfF1290,Individual,17,Hamdalaye,00,K13,A481V,148,0%,0,A481,1
18GNMa00A0129PfF1290,Individual,18,Maferinyah,00,K13,V568G,149,0%,0,V568,1
18GNLS21A0129PfF1290,Individual,18,Lay-Sarè,21,K13,A578S,147,0%,0,A578,1
18GNMa00A0097PfF1290,Individual,18,Maferinyah,00,K13,D584V,147,0%,0,D584,1
18GNLS21A0129PfF1290,Individual,18,Lay-Sarè,21,K13,D584V,149,0%,0,D584,1
17GNHa00F0011PfF1290,Individual,17,Hamdalaye,00,K13,G449A,149,0%,0,G449,1
19GNDo00A0134PfF1290,Individual,19,Dorota,00,K13,P441L,149,0%,0,P441,1
17GNDo00F0067PfF1153,Individual,17,Dorota,00,K13,D584V,15,0%,0,D584,1
17GNDo00F0067PfF1153,Individual,17,Dorota,00,K13,R622I,15,0%,0,R622,1
17GNDo21A0006PfF1290,Individual,17,Dorota,21,K13,R515K,15,0%,0,R515,1
17GNHa00F0137PfF1290,Individual,17,Hamdalaye,00,K13,A675V,15,0%,0,A675,1
17GNHa21F0137PfF1290,Individual,17,Hamdalaye,21,K13,R561H,15,0%,0,R561,1
18GNLa07A0115PfF1121,Individual,18,Lay-Sarè,07,K13,C469F,15,0%,0,C469,1
18GNLa07A0115PfF1121,Individual,18,Lay-Sarè,07,K13,C469Y,15,0%,0,C469,1
18GNLS14A0127PfF1290,Individual,18,Lay-Sarè,14,K13,G449A,15,0%,0,G449,1
18GNLS14A0127PfF1290,Individual,18,Lay-Sarè,14,K13,I543T,15,0%,0,I543,1
18GNLS21A0012PfF1290,Individual,18,Lay-Sarè,21,K13,P527H,15,0%,0,P527,1
18GNLS21A0012PfF1290,Individual,18,Lay-Sarè,21,K13,N537I,15,0%,0,N537,1
18GNLS21A0131PfF1290,Individual,18,Lay-Sarè,21,K13,G449A,15,0%,0,G449,1
18GNLS21A0131PfF1290,Individual,18,Lay-Sarè,21,K13,P527H,15,0%,0,P527,1
18GNLS21A0136PfF1290,Individual,18,Lay-Sarè,21,K13,A675V,15,0%,0,A675,1
18GNMa21A0014PfF1290,Individual,18,Maferinyah,21,DHPS,K540E,15,0%,0,K540,1
19GNDo00A0127PfF1290,Individual,19,Dorota,00,K13,Y493H,15,0%,0,Y493,1
19GNDo21A0127PfF1290,Individual,19,Dorota,21,DHFR,C59R,15,0%,0,C59,1
19GNDo21A0127PfF1290,Individual,19,Dorota,21,DHFR,S108N,15,0%,0,S108,1
19GNDo27A0134PfF1290,Individual,19,Dorota,27,DHPS,S436A,15,0%,0,S436,1
17GNHa00A0002PfF1290,Individual,17,Hamdalaye,00,K13,A481V,16,0%,0,A481,1
18GNLS14A0127PfF1290,Individual,18,Lay-Sarè,14,K13,P553L,16,0%,0,P553,1
19GNDo00A0134PfF1290,Individual,19,Dorota,00,K13,R622I,153,0%,0,R622,1
18GNMa00A0014PfF1290,Individual,18,Maferinyah,00,K13,N458Y,152,0%,0,N458,1
18GNMa28F0187PfF1121,Individual,18,Maferinyah,28,K13,P441L,152,0%,0,P441,1
18GNMa00F0182PfF1290,Individual,18,Maferinyah,00,K13,R515K,153,0%,0,R515,1
17GNHa00A0142PfF1290,Individual,17,Hamdalaye,00,mitochondrial genome - CYTB CDS,Y268N,152,0%,0,Y268,1
18GNLS21A0129PfF1290,Individual,18,Lay-Sarè,21,K13,P553L,153,0%,0,P553,1
18GNMa00A0014PfF1290,Individual,18,Maferinyah,00,K13,P527H,153,0%,0,P527,1
18GNMa00A0129PfF1290,Individual,18,Maferinyah,00,K13,P553L,154,0%,0,P553,1
17GNHa00F0011PfF1290,Individual,17,Hamdalaye,00,K13,N458Y,155,0%,0,N458,1
18GNMa00A0129PfF1290,Individual,18,Maferinyah,00,K13,R561H,155,0%,0,R561,1
18GNLS21A0129PfF1290,Individual,18,Lay-Sarè,21,K13,R561H,158,0%,0,R561,1
18GNMa28F0187PfF1121,Individual,18,Maferinyah,28,K13,C469F,160,0%,0,C469,1
18GNMa28F0187PfF1121,Individual,18,Maferinyah,28,K13,C469Y,160,0%,0,C469,1
18GNMa00A0177PfF1290,Individual,18,Maferinyah,00,K13,R622I,157,0%,0,R622,1
18GNMa00A0014PfF1290,Individual,18,Maferinyah,00,K13,A481V,158,0%,0,A481,1
18GNMa00A0014PfF1290,Individual,18,Maferinyah,00,K13,Y493H,158,0%,0,Y493,1
18GNMa00A0177PfF1290,Individual,18,Maferinyah,00,K13,Y493H,158,0%,0,Y493,1
18GNMa28F0187PfF1121,Individual,18,Maferinyah,28,K13,G449A,159,0%,0,G449,1
17GNHa00F0011PfF1290,Individual,17,Hamdalaye,00,K13,Y493H,158,0%,0,Y493,1
19GNDo00A0134PfF1290,Individual,19,Dorota,00,K13,F446I,158,0%,0,F446,1
18GNMa28F0187PfF1121,Individual,18,Maferinyah,28,K13,F446I,159,0%,0,F446,1
19GNHa28A0163PfF1290,Individual,19,Hamdalaye,28,mitochondrial genome - CYTB CDS,I258M,159,0%,0,I258,1
18GNMa00A0177PfF1290,Individual,18,Maferinyah,00,K13,P527H,160,0%,0,P527,1
17GNDo00F0002PfF1290,Individual,17,Dorota,00,K13,R622I,16,0%,0,R622,1
17GNDo00F0067PfF1153,Individual,17,Dorota,00,K13,G449A,16,0%,0,G449,1
17GNDo00F0067PfF1153,Individual,17,Dorota,00,K13,Y493H,16,0%,0,Y493,1
17GNDo21A0006PfF1290,Individual,17,Dorota,21,K13,R622I,16,0%,0,R622,1
17GNHa00A0002PfF1290,Individual,17,Hamdalaye,00,K13,P441L,16,0%,0,P441,1
17GNHa00A0002PfF1290,Individual,17,Hamdalaye,00,K13,M476I,16,0%,0,M476,1
17GNHa00F0097PfF1290,Individual,17,Hamdalaye,00,mitochondrial genome - CYTB CDS,I258M,16,0%,0,I258,1
17GNHa14F0097PfF1290,Individual,17,Hamdalaye,14,PfMDR1 ,D1246Y,16,0%,0,D1246,1
18GNLS00A0117PfF1290,Individual,18,Lay-Sarè,00,K13,R622I,16,0%,0,R622,1
18GNLS14A0127PfF1290,Individual,18,Lay-Sarè,14,K13,P441L,16,0%,0,P441,1
18GNLS14A0127PfF1290,Individual,18,Lay-Sarè,14,K13,N458Y,16,0%,0,N458,1
18GNLS21A0012PfF1290,Individual,18,Lay-Sarè,21,DHFR,A16V,16,0%,0,A16,1
18GNLS21A0012PfF1290,Individual,18,Lay-Sarè,21,K13,M476I,16,0%,0,M476,1
18GNLS21A0012PfF1290,Individual,18,Lay-Sarè,21,K13,G538V,16,0%,0,G538,1
18GNLS21A0012PfF1290,Individual,18,Lay-Sarè,21,K13,D584V,16,0%,0,D584,1
18GNLS21A0012PfF1290,Individual,18,Lay-Sarè,21,K13,A675V,16,0%,0,A675,1
18GNLS21A0131PfF1290,Individual,18,Lay-Sarè,21,K13,N458Y,16,0%,0,N458,1
18GNLS21A0131PfF1290,Individual,18,Lay-Sarè,21,K13,A481V,16,0%,0,A481,1
18GNLS21A0131PfF1290,Individual,18,Lay-Sarè,21,K13,Y493H,16,0%,0,Y493,1
18GNMa00A0177PfF1290,Individual,18,Maferinyah,00,DHPS,A581G,16,0%,0,A581,1
18GNMa21F0182PfF1290,Individual,18,Maferinyah,21,K13,P527H,16,0%,0,P527,1
18GNMa21F0182PfF1290,Individual,18,Maferinyah,21,K13,R622I,16,0%,0,R622,1
19GNDo00A0127PfF1290,Individual,19,Dorota,00,K13,A675V,16,0%,0,A675,1
18GNLS21A0012PfF1290,Individual,18,Lay-Sarè,21,K13,A481V,17,0%,0,A481,1
18GNLS21A0012PfF1290,Individual,18,Lay-Sarè,21,K13,R539T,17,0%,0,R539,1
18GNLS21A0012PfF1290,Individual,18,Lay-Sarè,21,K13,R622I,17,0%,0,R622,1
18GNLS21A0131PfF1290,Individual,18,Lay-Sarè,21,K13,M476I,17,0%,0,M476,1
18GNMa00A0014PfF1290,Individual,18,Maferinyah,00,DHPS,K540E,17,0%,0,K540,1
18GNMa28F0187PfF1121,Individual,18,Maferinyah,28,K13,N458Y,160,0%,0,N458,1
18GNLS21F0156PfF1290,Individual,18,Lay-Sarè,21,K13,P441L,163,0%,0,P441,1
18GNLS00A0136PfF1290,Individual,18,Lay-Sarè,00,mitochondrial genome - CYTB CDS,Y268N,164,0%,0,Y268,1
19GNHa00A0163PfF1290,Individual,19,Hamdalaye,00,K13,P441L,164,0%,0,P441,1
18GNMa00A0014PfF1290,Individual,18,Maferinyah,00,K13,M476I,166,0%,0,M476,1
18GNMa00A0014PfF1290,Individual,18,Maferinyah,00,K13,R515K,166,0%,0,R515,1
18GNMa00A0177PfF1290,Individual,18,Maferinyah,00,K13,N537I,169,0%,0,N537,1
18GNLS21A0117PfF1290,Individual,18,Lay-Sarè,21,mitochondrial genome - CYTB CDS,I258M,166,0%,0,I258,1
18GNMa00F0182PfF1290,Individual,18,Maferinyah,00,mitochondrial genome - CYTB CDS,Y268N,166,0%,0,Y268,1
18GNMa00A0014PfF1290,Individual,18,Maferinyah,00,K13,C469F,168,0%,0,C469,1
18GNMa00A0014PfF1290,Individual,18,Maferinyah,00,K13,C469Y,168,0%,0,C469,1
18GNMa00A0177PfF1290,Individual,18,Maferinyah,00,K13,R515K,167,0%,0,R515,1
18GNMa00A0177PfF1290,Individual,18,Maferinyah,00,K13,P553L,171,0%,0,P553,1
18GNLS21F0156PfF1290,Individual,18,Lay-Sarè,21,K13,G449A,168,0%,0,G449,1
18GNMa00A0177PfF1290,Individual,18,Maferinyah,00,K13,R539T,169,0%,0,R539,1
19GNHa14A0077PfF1290,Individual,19,Hamdalaye,14,mitochondrial genome - CYTB CDS,Y268N,169,0%,0,Y268,1
19GNHa00A0163PfF1290,Individual,19,Hamdalaye,00,K13,F446I,170,0%,0,F446,1
18GNMa00A0177PfF1290,Individual,18,Maferinyah,00,K13,I543T,174,0%,0,I543,1
19GNDo00A0134PfF1290,Individual,19,Dorota,00,K13,C469F,177,0%,0,C469,1
19GNDo00A0134PfF1290,Individual,19,Dorota,00,K13,C469Y,177,0%,0,C469,1
18GNMa00A0177PfF1290,Individual,18,Maferinyah,00,K13,G538V,169,0%,0,G538,1
19GNHa00A0163PfF1290,Individual,19,Hamdalaye,00,K13,G449A,169,0%,0,G449,1
17GNDo00F0067PfF1153,Individual,17,Dorota,00,K13,C469F,17,0%,0,C469,1
17GNDo00F0067PfF1153,Individual,17,Dorota,00,K13,C469Y,17,0%,0,C469,1
17GNDo00F0067PfF1153,Individual,17,Dorota,00,K13,M476I,17,0%,0,M476,1
17GNDo00F0067PfF1153,Individual,17,Dorota,00,K13,A481V,17,0%,0,A481,1
17GNDo21F0002PfF1290,Individual,17,Dorota,21,DHPS,S436A,17,0%,0,S436,1
17GNHa00A0002PfF1290,Individual,17,Hamdalaye,00,K13,F446I,17,0%,0,F446,1
17GNHa00A0002PfF1290,Individual,17,Hamdalaye,00,K13,G449A,17,0%,0,G449,1
17GNHa00F0137PfF1290,Individual,17,Hamdalaye,00,K13,N458Y,17,0%,0,N458,1
17GNHa21F0137PfF1290,Individual,17,Hamdalaye,21,K13,A675V,17,0%,0,A675,1
18GNLS00A0127PfF1290,Individual,18,Lay-Sarè,00,K13,P441L,17,0%,0,P441,1
18GNLS14A0127PfF1290,Individual,18,Lay-Sarè,14,K13,R561H,17,0%,0,R561,1
18GNLS14A0127PfF1290,Individual,18,Lay-Sarè,14,K13,A675V,17,0%,0,A675,1
18GNLS21A0012PfF1290,Individual,18,Lay-Sarè,21,K13,C469F,17,0%,0,C469,1
18GNLS21A0012PfF1290,Individual,18,Lay-Sarè,21,K13,C469Y,17,0%,0,C469,1
18GNLS21A0012PfF1290,Individual,18,Lay-Sarè,21,K13,I543T,17,0%,0,I543,1
18GNLS21A0131PfF1290,Individual,18,Lay-Sarè,21,K13,P553L,17,0%,0,P553,1
18GNLS21A0136PfF1290,Individual,18,Lay-Sarè,21,DHFR,A16V,17,0%,0,A16,1
19GNDo21A0127PfF1290,Individual,19,Dorota,21,DHFR,N51I,17,0%,0,N51,1
19GNDo27A0134PfF1290,Individual,19,Dorota,27,DHFR,I164L,17,0%,0,I164,1
19GNHa00F0172PfF1290,Individual,19,Hamdalaye,00,DHPS,A613S,17,0%,0,A613,1
19GNHa00F0172PfF1290,Individual,19,Hamdalaye,00,PfMDR1 ,N1042D,17,0%,0,N1042,1
17GNHa21F0137PfF1290,Individual,17,Hamdalaye,21,K13,G449A,18,0%,0,G449,1
17GNHa21F0137PfF1290,Individual,17,Hamdalaye,21,K13,P553L,18,0%,0,P553,1
17GNHa21F0137PfF1290,Individual,17,Hamdalaye,21,K13,P574L,18,0%,0,P574,1
18GNLS14A0127PfF1290,Individual,18,Lay-Sarè,14,K13,F446I,18,0%,0,F446,1
19GNDo00A0134PfF1290,Individual,19,Dorota,00,PfMDR1 ,Y184F,18,0%,0,Y184,1
18GNLS00A0127PfF1290,Individual,18,Lay-Sarè,00,K13,A675V,19,0%,0,A675,1
18GNLS21F0156PfF1290,Individual,18,Lay-Sarè,21,K13,F446I,173,0%,0,F446,1
19GNDo00A0134PfF1290,Individual,19,Dorota,00,K13,M476I,175,0%,0,M476,1
17GNHa00A0142PfF1290,Individual,17,Hamdalaye,00,mitochondrial genome - CYTB CDS,I258M,172,0%,0,I258,1
19GNHa00A0163PfF1290,Individual,19,Hamdalaye,00,K13,N458Y,173,0%,0,N458,1
19GNDo00A0134PfF1290,Individual,19,Dorota,00,K13,R515K,177,0%,0,R515,1
19GNDo00A0134PfF1290,Individual,19,Dorota,00,K13,A481V,174,0%,0,A481,1
19GNDo00A0134PfF1290,Individual,19,Dorota,00,K13,G449A,175,0%,0,G449,1
19GNHa00A0163PfF1290,Individual,19,Hamdalaye,00,K13,P574L,179,0%,0,P574,1
18GNMa21A0014PfF1290,Individual,18,Maferinyah,21,K13,N537I,180,0%,0,N537,1
18GNLS21F0156PfF1290,Individual,18,Lay-Sarè,21,K13,R622I,178,0%,0,R622,1
18GNMa00A0014PfF1290,Individual,18,Maferinyah,00,K13,A675V,177,0%,0,A675,1
19GNDo00A0134PfF1290,Individual,19,Dorota,00,K13,N458Y,177,0%,0,N458,1
17GNHa14F0097PfF1290,Individual,17,Hamdalaye,14,K13,P441L,178,0%,0,P441,1
17GNDo21A0006PfF1290,Individual,17,Dorota,21,K13,C580Y,18,0%,0,C580,1
17GNHa21A0159PfF1290,Individual,17,Hamdalaye,21,DHFR,I164L,18,0%,0,I164,1
17GNHa21F0137PfF1290,Individual,17,Hamdalaye,21,K13,C469F,18,0%,0,C469,1
17GNHa21F0137PfF1290,Individual,17,Hamdalaye,21,K13,C469Y,18,0%,0,C469,1
17GNHa21F0137PfF1290,Individual,17,Hamdalaye,21,mitochondrial genome - CYTB CDS,Y268N,18,0%,0,Y268,1
18GNLS00A0117PfF1290,Individual,18,Lay-Sarè,00,K13,A675V,18,0%,0,A675,1
18GNLS14A0127PfF1290,Individual,18,Lay-Sarè,14,K13,D584V,18,0%,0,D584,1
18GNLS21F0156PfF1290,Individual,18,Lay-Sarè,21,DHPS,A581G,18,0%,0,A581,1
18GNMa00F0182PfF1290,Individual,18,Maferinyah,00,DHPS,A581G,18,0%,0,A581,1
18GNMa00F0182PfF1290,Individual,18,Maferinyah,00,DHPS,A613S,18,0%,0,A613,1
18GNLS14A0127PfF1290,Individual,18,Lay-Sarè,14,K13,C469F,19,0%,0,C469,1
18GNLS14A0127PfF1290,Individual,18,Lay-Sarè,14,K13,C469Y,19,0%,0,C469,1
18GNMa1A0129PfF1290,Individual,18,Maferinyah,01,K13,N537I,19,0%,0,N537,1
18GNLS21F0156PfF1290,Individual,18,Lay-Sarè,21,K13,C469F,186,0%,0,C469,1
18GNLS21F0156PfF1290,Individual,18,Lay-Sarè,21,K13,C469Y,186,0%,0,C469,1
18GNLS00A0136PfF1290,Individual,18,Lay-Sarè,00,mitochondrial genome - CYTB CDS,I258M,181,0%,0,I258,1
19GNDo00A0134PfF1290,Individual,19,Dorota,00,mitochondrial genome - CYTB CDS,Y268N,181,0%,0,Y268,1
19GNDo27A0134PfF1290,Individual,19,Dorota,27,mitochondrial genome - CYTB CDS,I258M,181,0%,0,I258,1
18GNLS21F0156PfF1290,Individual,18,Lay-Sarè,21,mitochondrial genome - CYTB CDS,Y268N,182,0%,0,Y268,1
19GNHa00A0163PfF1290,Individual,19,Hamdalaye,00,K13,A481V,182,0%,0,A481,1
19GNDo00A0134PfF1290,Individual,19,Dorota,00,K13,P527H,183,0%,0,P527,1
19GNHa00A0163PfF1290,Individual,19,Hamdalaye,00,K13,N537I,183,0%,0,N537,1
18GNMa00A0177PfF1290,Individual,18,Maferinyah,00,K13,R561H,185,0%,0,R561,1
19GNHa00A0163PfF1290,Individual,19,Hamdalaye,00,K13,V568G,186,0%,0,V568,1
19GNHa00A0163PfF1290,Individual,19,Hamdalaye,00,K13,R539T,184,0%,0,R539,1
18GNMa21A0014PfF1290,Individual,18,Maferinyah,21,K13,G538V,186,0%,0,G538,1
19GNHa00A0163PfF1290,Individual,19,Hamdalaye,00,K13,P553L,186,0%,0,P553,1
18GNMa00F0182PfF1290,Individual,18,Maferinyah,00,mitochondrial genome - CYTB CDS,I258M,184,0%,0,I258,1
19GNDo00A0134PfF1290,Individual,19,Dorota,00,K13,Y493H,185,0%,0,Y493,1
19GNHa00A0163PfF1290,Individual,19,Hamdalaye,00,K13,M476I,185,0%,0,M476,1
19GNHa00A0163PfF1290,Individual,19,Hamdalaye,00,K13,G538V,185,0%,0,G538,1
19GNHa00A0163PfF1290,Individual,19,Hamdalaye,00,K13,R622I,187,0%,0,R622,1
18GNMa00A0177PfF1290,Individual,18,Maferinyah,00,K13,P574L,191,0%,0,P574,1
19GNHa00A0163PfF1290,Individual,19,Hamdalaye,00,K13,C469F,187,0%,0,C469,1
19GNHa00A0163PfF1290,Individual,19,Hamdalaye,00,K13,C469Y,187,0%,0,C469,1
18GNLa00A0115PfF1121,Individual,18,Lay-Sarè,00,K13,R515K,188,0%,0,R515,1
